0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.18	0.16
0.52	0.3
1.25	1.1
1.64	1.05
3.03	3.14
3.38	3.12
3.5	2.98
3.65	3.3
3.7	3.58
3.25	3.53
2.6	3.41
1.87	3.19
1.04	2.45
0.33	0.98
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.28	0.68
0.88	1.54
1.89	3.19
2.35	2.68
3.2	3.46
3.68	3.55
3.92	3.58
3.94	3.61
3.71	3.59
3.27	3.55
2.62	3.43
1.89	3.26
1.1	2.79
0.31	0.96
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.22	0.34
0.68	0.77
0.64	0.19
1.57	0.94
3.12	3.38
3.26	2.87
3.68	3.37
3.86	3.53
3.63	3.51
3.19	3.46
2.57	3.36
1.8	2.89
1.03	2.37
0.32	0.99
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.28	0.73
0.92	1.79
1.49	1.81
2.38	2.8
3.06	3.26
3.5	3.38
3.74	3.42
3.75	3.43
3.49	3.37
3.02	3.15
2.38	2.79
1.66	2.36
0.88	1.58
0.24	0.46
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.07	0.06
0.22	0.11
0.37	0.11
0.8	0.18
1.18	0.22
1.3	0.22
0.88	0.14
1.06	0.17
1.04	0.17
1.04	0.19
1.15	0.35
0.6	0.18
0.26	0.13
0.06	0.05
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.08	0.07
0.28	0.14
0.73	0.22
1.41	0.71
1.85	0.9
2.28	1.16
2.94	1.95
2.78	1.69
1.79	0.57
0.71	0.13
0.27	0.06
0.23	0.07
0.15	0.07
0.08	0.07
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.08	0.07
0.29	0.14
0.61	0.19
